Sl. No.,image name,noise variance,ssim value
1,0036.png,15,0.9351030468139253
2,0040.png,15,0.8775498026075764
3,0044.png,15,0.8836530079792246
4,0000.png,15,0.9740064422334082
5,0033.png,15,0.9406667532481824
6,0025.png,15,0.8971991266223671
7,0035.png,15,0.9335003233881828
8,0061.png,15,0.854685638454473
9,0020.png,15,0.9083657405532373
10,0008.png,15,0.8534715962812683
11,0011.png,15,0.9329639389633251
12,0059.png,15,0.8527519776082515
13,0066.png,15,0.8905618844103771
14,0047.png,15,0.9203046392246508
15,0054.png,15,0.8510032491265334
16,0056.png,15,0.8914444580644894
17,0039.png,15,0.648733522091871
18,0051.png,15,0.889667459360433
19,0026.png,15,0.9343481363215103
20,0027.png,15,0.9075416369769755
21,0013.png,15,0.9409609974889163
22,0021.png,15,0.8829417139533967
23,0048.png,15,0.8864409413468657
24,0042.png,15,0.9597466327653505
25,0007.png,15,0.9478616871821897
26,0063.png,15,0.949027326701527
27,0029.png,15,0.9341964639425974
28,0003.png,15,0.8887055854898539
29,0038.png,15,0.9023436847503704
30,0009.png,15,0.9349820407795525
31,0015.png,15,0.8945735351825137
32,0034.png,15,0.9083939568302919
33,0017.png,15,0.9044733613721665
34,0023.png,15,0.9381066517920125
35,0032.png,15,0.8985010298525821
36,0002.png,15,0.9132574309863299
37,0045.png,15,0.9436931643609359
38,0018.png,15,0.9374735729502651
39,0016.png,15,0.9201932737333445
40,0014.png,15,0.9176998894035595
41,0050.png,15,0.8618252684756343
42,0012.png,15,0.9186538569913514
43,0053.png,15,0.8766096016511232
44,0046.png,15,0.9376007933313447
45,0049.png,15,0.9158072009250271
46,0052.png,15,0.8873870663436849
47,0060.png,15,0.8544692562010665
48,0064.png,15,0.9373049481990319
49,0019.png,15,0.9232845760063628
50,0024.png,15,0.8963797938533968
51,0067.png,15,0.942444575470923
52,0057.png,15,0.9315362445566984
53,0037.png,15,0.9533239096991882
54,0062.png,15,0.858556971548515
55,0004.png,15,0.8933699413903058
56,0010.png,15,0.9130718918217832
57,0001.png,15,0.8936899316989225
58,0041.png,15,0.9045364001062679
59,0006.png,15,0.959190208306381
60,0058.png,15,0.9095304242038054
61,0030.png,15,0.9641887941796645
62,0031.png,15,0.9068622025486941
63,0005.png,15,0.8524367698738367
64,0028.png,15,0.9378768855486647
65,0043.png,15,0.904802051190283
66,0055.png,15,0.9026610167182014
67,0065.png,15,0.8529671313447762
68,0022.png,15,0.9284535271109914
