Sl. No.,image name,noise variance,ssim value
1,0036.png,25,0.8311257262558687
2,0040.png,25,0.7887471845130732
3,0044.png,25,0.7996753890565864
4,0000.png,25,0.9289308269543823
5,0033.png,25,0.8789012802343666
6,0025.png,25,0.8337263843625469
7,0035.png,25,0.8559818904700337
8,0061.png,25,0.7982830857209896
9,0020.png,25,0.8409238768097582
10,0008.png,25,0.7745208209409642
11,0011.png,25,0.8286491660179182
12,0059.png,25,0.7861103835372875
13,0066.png,25,0.7837312588929746
14,0047.png,25,0.8380553764675379
15,0054.png,25,0.7630990611539249
16,0056.png,25,0.7906865453783873
17,0039.png,25,0.6025218614542833
18,0051.png,25,0.7924704193479203
19,0026.png,25,0.8601623186853486
20,0027.png,25,0.8059388843646239
21,0013.png,25,0.8751078908905624
22,0021.png,25,0.795987773903537
23,0048.png,25,0.7968916584229478
24,0042.png,25,0.8641644377291878
25,0007.png,25,0.8770245242412241
26,0063.png,25,0.8763628839306801
27,0029.png,25,0.8415004675256469
28,0003.png,25,0.7955087801307015
29,0038.png,25,0.8541221491234652
30,0009.png,25,0.8690963390909467
31,0015.png,25,0.7775073446026411
32,0034.png,25,0.7834163131820026
33,0017.png,25,0.8091435634360895
34,0023.png,25,0.8586260246855614
35,0032.png,25,0.8339435842029517
36,0002.png,25,0.82617010999198
37,0045.png,25,0.8475262876294241
38,0018.png,25,0.8501580397838844
39,0016.png,25,0.8299741232505901
40,0014.png,25,0.8075751304490807
41,0050.png,25,0.8137079008896845
42,0012.png,25,0.8235529023331128
43,0053.png,25,0.816568703537675
44,0046.png,25,0.842667561802452
45,0049.png,25,0.8100261633765227
46,0052.png,25,0.8040679720184357
47,0060.png,25,0.7849941637215958
48,0064.png,25,0.8300280829946288
49,0019.png,25,0.808945549319885
50,0024.png,25,0.8163477835798152
51,0067.png,25,0.8816188577818157
52,0057.png,25,0.8484602332353126
53,0037.png,25,0.8937824430849703
54,0062.png,25,0.7924322003361449
55,0004.png,25,0.8077540808545691
56,0010.png,25,0.8510862492855182
57,0001.png,25,0.7805517541407674
58,0041.png,25,0.7811189760179821
59,0006.png,25,0.8811397296965119
60,0058.png,25,0.8362554540108942
61,0030.png,25,0.9004570190163232
62,0031.png,25,0.8227246777288899
63,0005.png,25,0.7813191664320353
64,0028.png,25,0.8387389481068782
65,0043.png,25,0.8209057512624347
66,0055.png,25,0.8078808810396212
67,0065.png,25,0.7566928351575212
68,0022.png,25,0.8315455753005692
