Sl. No.,image name,noise variance,ssim value
1,0000.png,15,0.9883170887168715
2,0001.png,15,0.8686638357894579
3,0002.png,15,0.9340776231625674
4,0003.png,15,0.8769237371583388
5,0004.png,15,0.871970497257835
6,0005.png,15,0.886939419940284
7,0006.png,15,0.9409070779856259
8,0007.png,15,0.8619435254055825
9,0008.png,15,0.7992525129811465
10,0009.png,15,0.9104401258747383
11,0010.png,15,0.9240011990475159
12,0011.png,15,0.9123478595252666
13,0012.png,15,0.8559385186962518
14,0013.png,15,0.9388199824730227
15,0014.png,15,0.8820924632251202
16,0015.png,15,0.821281975762909
17,0016.png,15,0.8910617602145319
18,0017.png,15,0.8973856697831009
19,0018.png,15,0.907552946593584
20,0019.png,15,0.889498617548403
21,0020.png,15,0.9196458153535488
22,0021.png,15,0.857314608309972
23,0022.png,15,0.9013083908044982
24,0023.png,15,0.9441408667826131
25,0024.png,15,0.8593195054176599
26,0025.png,15,0.9082105709250525
27,0026.png,15,0.8942421727478627
28,0027.png,15,0.8528355231115957
29,0028.png,15,0.9069515012023074
30,0029.png,15,0.9112057568887848
31,0030.png,15,0.9342495834476617
32,0031.png,15,0.8975273860586878
33,0032.png,15,0.9386887959880893
34,0033.png,15,0.8244327834313727
35,0034.png,15,0.8940133303410903
36,0035.png,15,0.78630441955585
37,0036.png,15,0.853783068080465
38,0037.png,15,0.9116102201965776
39,0038.png,15,0.9450267551377287
40,0039.png,15,0.7167917286318057
41,0040.png,15,0.8427236822238919
42,0041.png,15,0.8630977744511379
43,0042.png,15,0.9547157329932027
44,0043.png,15,0.8645669619568005
45,0044.png,15,0.8956659069982246
46,0045.png,15,0.9357901801544095
47,0046.png,15,0.8465758123182374
48,0047.png,15,0.930584893379823
49,0048.png,15,0.8464097119444451
50,0049.png,15,0.8293086206982905
51,0050.png,15,0.9146693147972208
52,0051.png,15,0.8273891729602127
53,0052.png,15,0.8783832393648279
54,0053.png,15,0.9166066832525835
55,0054.png,15,0.8857235316544754
56,0055.png,15,0.8958670639330636
57,0056.png,15,0.8589219411698273
58,0057.png,15,0.7504131369164101
59,0058.png,15,0.8593262580049359
60,0059.png,15,0.887822127423925
61,0060.png,15,0.8798258181458359
62,0061.png,15,0.9015962454476516
63,0062.png,15,0.8988439275493132
64,0063.png,15,0.9597207459361309
65,0064.png,15,0.8514957776084144
66,0065.png,15,0.8095066997436566
67,0066.png,15,0.8795521896643579
68,0067.png,15,0.8677279463097333
