Sl. No.,image name,noise variance,ssim value
,,,
1,0000.png,25,0.980455636
,,,
2,0001.png,25,0.871336703
,,,
3,0002.png,25,0.917506053
,,,
4,0003.png,25,0.874799233
,,,
5,0004.png,25,0.873074498
,,,
6,0005.png,25,0.887089393
,,,
7,0006.png,25,0.9319557
,,,
8,0007.png,25,0.860010094
,,,
9,0008.png,25,0.800464655
,,,
10,0009.png,25,0.908933452
,,,
11,0010.png,25,0.919601227
,,,
12,0011.png,25,0.910930285
,,,
13,0012.png,25,0.854076711
,,,
14,0013.png,25,0.936563298
,,,
15,0014.png,25,0.883024467
,,,
16,0015.png,25,0.826108594
,,,
17,0016.png,25,0.890324344
,,,
18,0017.png,25,0.897929621
,,,
19,0018.png,25,0.895684309
,,,
20,0019.png,25,0.891198089
,,,
21,0020.png,25,0.916930076
,,,
22,0021.png,25,0.859080036
,,,
23,0022.png,25,0.899707478
,,,
24,0023.png,25,0.938459696
,,,
25,0024.png,25,0.861427383
,,,
26,0025.png,25,0.903147575
,,,
27,0026.png,25,0.884672099
,,,
28,0027.png,25,0.849069896
,,,
29,0028.png,25,0.903904729
,,,
30,0029.png,25,0.89807153
,,,
31,0030.png,25,0.93064164
,,,
32,0031.png,25,0.895326531
,,,
33,0032.png,25,0.917931251
,,,
34,0033.png,25,0.826953106
,,,
35,0034.png,25,0.896231009
,,,
36,0035.png,25,0.790647691
,,,
37,0036.png,25,0.855650455
,,,
38,0037.png,25,0.907804366
,,,
39,0038.png,25,0.941017387
,,,
40,0039.png,25,0.739988873
,,,
41,0040.png,25,0.850324446
,,,
42,0041.png,25,0.864328984
,,,
43,0042.png,25,0.947092487
,,,
44,0043.png,25,0.858119565
,,,
45,0044.png,25,0.894137484
,,,
46,0045.png,25,0.929699739
,,,
47,0046.png,25,0.845855393
,,,
48,0047.png,25,0.927862612
,,,
49,0048.png,25,0.846409712
,,,
50,0049.png,25,0.835706612
,,,
51,0050.png,25,0.91459285
,,,
52,0051.png,25,0.83008588
,,,
53,0052.png,25,0.880861431
,,,
54,0053.png,25,0.915874106
,,,
55,0054.png,25,0.889858511
,,,
56,0055.png,25,0.894533666
,,,
57,0056.png,25,0.861418446
,,,
58,0057.png,25,0.757503751
,,,
59,0058.png,25,0.862518906
,,,
60,0059.png,25,0.890743263
,,,
61,0060.png,25,0.881320926
,,,
62,0061.png,25,0.901623086
,,,
63,0062.png,25,0.897900884
,,,
64,0063.png,25,0.915815228
,,,
65,0064.png,25,0.848591721
,,,
66,0065.png,25,0.816254982
,,,
67,0066.png,25,0.845784451
,,,
68,0067.png,25,0.864604474
