Sl. No.,image name,noise variance,ssim value
1,0042.png,15,0.9999999999999395
2,0053.png,15,0.9999999999990205
3,0058.png,15,0.9999999999997246
4,0026.png,15,0.9999999999998914
5,0016.png,15,0.9999999999999473
6,0064.png,15,0.9999999999999136
7,0037.png,15,0.9999999999999526
8,0055.png,15,0.9999999999998903
9,0046.png,15,0.9999999999999549
10,0005.png,15,0.999999999999775
11,0013.png,15,0.9999999999997028
12,0052.png,15,0.9999999999997993
13,0021.png,15,0.9999999999998994
14,0041.png,15,0.9999999999998764
15,0010.png,15,0.9999999999997605
16,0018.png,15,0.99999999999998
17,0004.png,15,0.9999999999998932
18,0034.png,15,0.9999999999998868
19,0029.png,15,0.9999999999999473
20,0043.png,15,0.9999999999998627
21,0003.png,15,0.9999999999999426
22,0061.png,15,0.9999999999996775
23,0060.png,15,0.9999999999998174
24,0065.png,15,0.9999999999999695
