Sl. No.,image name,noise variance,ssim value
481,0038.png,25,0.8988557590127875
321,0061.png,25,0.8482345205167481
321,0029.png,25,0.7647210529556444
321,0024.png,25,0.7227344874655093
481,0041.png,25,0.7371380975557166
481,0056.png,25,0.668240676346859
321,0005.png,25,0.7488868484768395
481,0042.png,25,0.8812666030780458
321,0031.png,25,0.8048689365413167
321,0049.png,25,0.6298228419941757
321,0014.png,25,0.7165907773207216
321,0054.png,25,0.8483427994884146
321,0032.png,25,0.8630289956558692
481,0009.png,25,0.8095485620395161
321,0048.png,25,0.5885061702418153
321,0020.png,25,0.8208092846241655
321,0015.png,25,0.5956551606209918
321,0000.png,25,0.9603659713049431
481,0010.png,25,0.8024439774631161
321,0046.png,25,0.6482110593054993
321,0050.png,25,0.8678771395432481
321,0058.png,25,0.7373146052627432
321,0018.png,25,0.6449568543894824
321,0025.png,25,0.7952744331008685
321,0012.png,25,0.7117881824575941
321,0064.png,25,0.6348606853028769
481,0008.png,25,0.5837961987362167
481,0007.png,25,0.5149327570149391
321,0059.png,25,0.8437144019813865
321,0016.png,25,0.7768031463929049
321,0036.png,25,0.6263335908384855
321,0011.png,25,0.8416511745628714
321,0013.png,25,0.8958784199191931
481,0035.png,25,0.4020971248466988
321,0034.png,25,0.8170357447208649
481,0065.png,25,0.6500340039465721
321,0023.png,25,0.8890252469989737
321,0067.png,25,0.6259998301550129
321,0001.png,25,0.7135090938600538
321,0053.png,25,0.8670673432658079
321,0045.png,25,0.8256353818622076
321,0017.png,25,0.8079980405023198
321,0060.png,25,0.8171322183750178
321,0051.png,25,0.6406646653205248
321,0003.png,25,0.743806914903644
321,0006.png,25,0.76987773144031
321,0037.png,25,0.7152897604623881
481,0055.png,25,0.739869632437991
321,0021.png,25,0.6852837522709309
321,0022.png,25,0.6643080175950521
321,0040.png,25,0.7425650497686769
321,0052.png,25,0.6845830811166287
321,0044.png,25,0.7752598577222457
321,0019.png,25,0.8040491690134619
321,0028.png,25,0.7559557882705038
321,0062.png,25,0.814481616306072
481,0047.png,25,0.8844540043022598
321,0057.png,25,0.42670884304013434
321,0039.png,25,0.6664795640938594
321,0043.png,25,0.6945974091667799
481,0033.png,25,0.4849870142218957
321,0004.png,25,0.7349349008601891
321,0066.png,25,0.7401863779769121
481,0026.png,25,0.5792270152629488
481,0063.png,25,0.8558169874880183
321,0027.png,25,0.57831449557072
321,0002.png,25,0.8794811397614136
321,0030.png,25,0.8050382668853379
