Sl. No.,PSNR Bilateral,PSNR wiener,PSNR wavelet,PSNR PCA,ssim BM3D,ssim NLM
1,35.47137444154837,34.80549916697161,36.116237639164346,37.59562897192214,39.1532408127174,38.835001112058606
2,38.77275130764562,33.427287412962755,34.77013371077775,35.63819983253936,40.66730380860889,40.51384488591731
3,36.53444997420876,35.79161817320729,32.82753015707842,38.105501928041214,39.95506902239052,39.80165674259924
4,34.774598440995376,34.27616843564699,36.02857432696799,35.88208274835515,39.740903409212585,38.89856281734332
5,36.39067433294328,35.414677184722045,35.000261102006405,33.84817312511685,40.202360722937726,39.683049095183264
6,34.08521005798852,33.309185112638964,33.31935619938194,31.425497224185207,39.19449058825072,38.9568345593193
7,36.23948344624745,35.153236012169366,34.001593554170206,34.10175913541201,42.43912519351351,41.365452318962674
8,36.77205506875778,35.82199146356082,34.37503197493199,37.04426898241857,40.52193598432132,40.24014272039376
9,33.886514241228916,33.55306406214615,34.11799995424381,34.82168999293379,39.3049380879668,38.79006921183979
10,37.737016310455466,36.40092956338937,36.3961666699842,38.36757288385564,40.522022699118864,40.29059183259405
11,38.531560022645685,36.586835760429395,34.3973099255537,37.54132837747941,40.80729585889063,40.566893404291136
12,35.22538096565888,33.9654488390225,36.1168236766243,36.840381127464596,39.55313465841482,38.92588509951108
13,34.56056515518104,33.554199537982484,34.87420996773245,33.39182645265408,40.8742443493179,40.02256284134707
14,35.71756557997325,33.99209050495288,34.26245077801107,32.75160110287121,39.6068688681538,39.150234736889765
15,38.52017997681541,35.15546533083024,33.701774836888745,35.84582999033103,41.77946428748462,41.24308565101785
16,33.10317781068326,32.811050807714565,34.66163512970902,35.99828865102059,38.863337325270024,38.376341161815716
17,37.62841942392022,35.63824490479912,35.427065092356564,37.94637073299758,41.497905469632926,40.52946726386836
18,35.45574005417874,33.19624287330065,34.75182615405918,35.143153767683856,40.16081796004228,39.71064966120788
19,37.00065131141919,34.00882955463085,35.18073082011164,35.77337581437928,38.66882592416431,38.86911686588568
20,38.13517948107416,35.62446318582922,35.272804124484,37.80958144394504,41.98049322863122,41.40209514905634
21,35.776813235748115,34.417752204441314,35.34260829560799,36.92154039864747,39.835000574693595,39.475341003459405
22,35.710537723652465,34.729798656143174,32.53062729388577,36.96057265493724,40.90964180323361,40.42852069848604
23,35.58984029874297,33.54455655478884,33.06958622117222,36.172399667782116,40.69284606852938,39.86419855551419
24,35.44964693409648,34.496932765367134,36.42080087135267,37.688297641437174,40.41759259040802,39.53420740222554
