Sl. No.,image name,noise variance,ssim value
1,0065.png,15,0.6624974087954505
2,0059.png,15,0.7270318990609221
3,0058.png,15,0.6994542111770363
4,0064.png,15,0.6474810228141865
5,0066.png,15,0.7410496624646455
6,0067.png,15,0.6654070821412484
7,0063.png,15,0.800531631431238
8,0062.png,15,0.735045749210918
9,0048.png,15,0.6254540464315705
10,0060.png,15,0.7349149850037904
11,0061.png,15,0.7481624496789648
12,0049.png,15,0.6311456321731751
13,0006.png,15,0.6892837533002097
14,0012.png,15,0.6978910717123299
15,0013.png,15,0.7736873771968028
16,0007.png,15,0.6076261395394263
17,0011.png,15,0.735181179751312
18,0005.png,15,0.6812003474832667
19,0039.png,15,0.6783360375099591
20,0038.png,15,0.7625169069061718
21,0004.png,15,0.6908256168547433
22,0010.png,15,0.702226482271023
23,0028.png,15,0.6844879992377545
24,0014.png,15,0.6590613558586791
25,0000.png,15,0.7627248143995552
26,0001.png,15,0.6728692723242805
27,0015.png,15,0.6151434232313762
28,0029.png,15,0.7097954556048264
29,0003.png,15,0.686640670081863
30,0017.png,15,0.7097616534923602
31,0016.png,15,0.6998542450905577
32,0002.png,15,0.7684526493271192
33,0027.png,15,0.6084968078139824
34,0033.png,15,0.5873485919666561
35,0032.png,15,0.8018576794054936
36,0026.png,15,0.6163399838418298
37,0030.png,15,0.7105293854385939
38,0024.png,15,0.6891225496210361
39,0018.png,15,0.6263804887063422
40,0019.png,15,0.7101187025057174
41,0025.png,15,0.7267963740341443
42,0031.png,15,0.7114769457099877
43,0009.png,15,0.7357138318864579
44,0035.png,15,0.5700225931838313
45,0021.png,15,0.7001987629032697
46,0020.png,15,0.7157096308568963
47,0034.png,15,0.7279883690643942
48,0008.png,15,0.6297444995378316
49,0022.png,15,0.6456460810981594
50,0036.png,15,0.6717726132686394
51,0037.png,15,0.6779146083375565
52,0023.png,15,0.7523364526958345
53,0044.png,15,0.6974744526427357
54,0050.png,15,0.7587674265438713
55,0051.png,15,0.647050633417919
56,0045.png,15,0.7146114087449627
57,0053.png,15,0.744416809467062
58,0047.png,15,0.7334503624527466
59,0046.png,15,0.6610366687612924
60,0052.png,15,0.6647238457496852
61,0056.png,15,0.6489019205679527
62,0042.png,15,0.7323986352322592
63,0043.png,15,0.6768827086150336
64,0057.png,15,0.5828806376635481
65,0041.png,15,0.6878907567725351
66,0055.png,15,0.6689059027080307
67,0054.png,15,0.7474729117965008
68,0040.png,15,0.691608470860657
